"","movieId","title","year","Adventure","Animation","Children","Action","Comedy","Fantasy","Romance","Drama","Crime","Thriller","Sci-Fi","Horror","Mystery","IMAX","War","Musical","Film-Noir","Documentary"
"1",1,"Toy Story ","1995",1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"2",2,"Jumanji ","1995",1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"3",3,"Grumpier Old Men ","1995",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"4",4,"Waiting to Exhale ","1995",0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"5",5,"Father of the Bride Part II ","1995",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",6,"Heat ","1995",0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"7",7,"Sabrina ","1995",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"8",8,"Tom and Huck ","1995",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",9,"Sudden Death ","1995",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",10,"GoldenEye ","1995",1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"11",11,"American President, The ","1995",0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"12",12,"Dracula: Dead and Loving It ","1995",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"13",13,"Balto ","1995",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",14,"Nixon ","1995",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"15",15,"Cutthroat Island ","1995",1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"16",16,"Casino ","1995",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"17",17,"Sense and Sensibility ","1995",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"18",18,"Four Rooms ","1995",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",19,"Ace Ventura: When Nature Calls ","1995",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",20,"Money Train ","1995",0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0
"21",21,"Get Shorty ","1995",0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
"22",22,"Copycat ","1995",0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0
"23",23,"Assassins ","1995",0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"24",24,"Powder ","1995",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"25",25,"Leaving Las Vegas ","1995",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"26",26,"Othello ","1995",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"27",27,"Now and Then ","1995",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"28",28,"Persuasion ","1995",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"29",29,"City of Lost Children, The (Cité des enfants perdus, La) ","1995",1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0
"30",30,"Shanghai Triad (Yao a yao yao dao waipo qiao) ","1995",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"31",31,"Dangerous Minds ","1995",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"32",32,"Twelve Monkeys (a.k.a. 12 Monkeys) ","1995",0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
"33",33,"Wings of Courage ","1995",1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"34",34,"Babe ","1995",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"35",35,"Carrington ","1995",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"36",36,"Dead Man Walking ","1995",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"37",39,"Clueless ","1995",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"38",40,"Cry, the Beloved Country ","1995",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"39",41,"Richard III ","1995",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"40",42,"Dead Presidents ","1995",0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"41",43,"Restoration ","1995",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"42",44,"Mortal Kombat ","1995",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"43",45,"To Die For ","1995",0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
"44",46,"How to Make an American Quilt ","1995",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"45",47,"Seven (a.k.a. Se7en) ","1995",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"46",48,"Pocahontas ","1995",0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
"47",49,"When Night Is Falling ","1995",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"48",50,"Usual Suspects, The ","1995",0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
"49",52,"Mighty Aphrodite ","1995",0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"50",53,"Lamerica ","1994",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"51",54,"Big Green, The ","1995",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"52",55,"Georgia ","1995",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"53",57,"Home for the Holidays ","1995",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"54",58,"Postman, The (Postino, Il) ","1994",0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"55",59,"Confessional, The (Confessionnal, Le) ","1995",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"56",60,"Indian in the Cupboard, The ","1995",1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"57",61,"Eye for an Eye ","1996",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"58",62,"Mr. Holland's Opus ","1995",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"59",63,"Don't Be a Menace to South Central While Drinking Your Juice in the Hood ","1996",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"60",64,"Two if by Sea ","1996",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"61",65,"Bio-Dome ","1996",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"62",66,"Lawnmower Man 2: Beyond Cyberspace ","1996",0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"63",68,"French Twist (Gazon maudit) ","1995",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"64",69,"Friday ","1995",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"65",70,"From Dusk Till Dawn ","1996",0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0
"66",71,"Fair Game ","1995",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67",72,"Kicking and Screaming ","1995",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"68",73,"Misérables, Les ","1995",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"69",74,"Bed of Roses ","1996",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"70",75,"Big Bully ","1996",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"71",76,"Screamers ","1995",0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"72",78,"Crossing Guard, The ","1995",0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
"73",79,"Juror, The ","1996",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"74",80,"White Balloon, The (Badkonake sefid) ","1995",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"75",81,"Things to Do in Denver When You're Dead ","1995",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"76",82,"Antonia's Line (Antonia) ","1995",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"77",83,"Once Upon a Time... When We Were Colored ","1995",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"78",84,"Last Summer in the Hamptons ","1995",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"79",85,"Angels and Insects ","1995",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"80",86,"White Squall ","1996",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"81",87,"Dunston Checks In ","1996",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"82",88,"Black Sheep ","1996",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"83",89,"Nick of Time ","1995",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"84",90,"Journey of August King, The ","1995",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"85",92,"Mary Reilly ","1996",0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
"86",93,"Vampire in Brooklyn ","1995",0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"87",94,"Beautiful Girls ","1996",0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"88",95,"Broken Arrow ","1996",1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"89",96,"In the Bleak Midwinter ","1995",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"90",97,"Hate (Haine, La) ","1995",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"91",100,"City Hall ","1996",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"92",101,"Bottle Rocket ","1996",1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
"93",102,"Mr. Wrong ","1996",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"94",103,"Unforgettable ","1996",0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
